Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
52,PSO Gambler Mem1,2.49,0.9912339851652057,0.0,1.0,0.8172645360816894,0.1741583085113657,0.004057358213071054,0.004519797193873817,1.0,0.691102756892,0,1.0
53,Naive Prober: 0.1,2.49,0.974473802060009,0.5,1.0,0.8036776982601763,0.17130031236452645,0.0149994068653754,0.010022582509921895,0.924530144652,0,0.916666666667,0
54,Winner12,2.48833333333,0.9988819320214669,0.0,1.0,0.8243410573714157,0.17454630711961036,0.0004255319148936171,0.0006871035940803385,1.0,1.0,0,0
55,Soft Go By Majority: 20,2.4875,0.9867296446243815,0.0,1.0,0.8181666340170878,0.1684729851190676,0.009438101592728013,0.00392227927111648,1.0,1.0,1.0,0
56,Resurrection,2.4875,0.9833110814419226,0.0,1.0,0.8120605951694623,0.17142905145558193,0.009311799108651108,0.00719855426630472,1.0,0,1.0,0
57,Grudger,2.4875,0.9776674937965261,0.0,1.0,0.8116016245690342,0.1666977971128176,0.013469005286390136,0.008231573031758043,1.0,0,0,0
58,GrudgerAlternator,2.48583333333,0.9817731773177317,0.0,1.0,0.8115975669424241,0.17071003071699278,0.011035965170975746,0.0066564371696072695,1.0,0,1.0,1.0
59,"ZD-GEN-2: 0.125, 0.5, 3",2.48583333333,0.9912926992632284,0.0,1.0,0.8172003694186977,0.17420722235703026,0.005682607427519547,0.00290980079675251,1.0,0.672308488613,1.0,0
60,Meta Majority Finite Memory: 78 players,2.48583333333,0.9804713804713805,0.0,1.0,0.8114197754108826,0.1696694233987918,0.010087733356148218,0.00882306783417737,1.0,0,1.0,0
61,Hard Tit For Tat,2.485,0.9838854073410922,0.0,1.0,0.8149366581606788,0.16916593711434766,0.009297684112397179,0.006599720612576312,1.0,0,0,0
62,Slow Tit For Two Tats,2.485,0.9979892761394102,0.0,1.0,0.8222872368916287,0.1758533759492522,0.00021276595744680848,0.001646621201672158,1.0,0.938571428571,0,0
63,PSO Gambler 1_1_1,2.485,0.9895555555555555,0.0,1.0,0.8185097638137421,0.17126062922678473,0.005831189372130827,0.004398417587342264,1.0,0.61832010582,0,0
64,"Feld: 1.0, 0.5, 200",2.485,0.9822392086330936,0.0,1.0,0.8105815309380258,0.17194784420847226,0.011756907305997459,0.005713717547504636,1.0,0,1.0,0
65,Shubik,2.4825,0.983295711060948,0.0,1.0,0.8103820710724638,0.17306147606391123,0.010097720058961809,0.0064587328046630385,1.0,0,1.0,0
66,Stochastic WSLS: 0.05,2.4825,0.97847533632287,0.5,1.0,0.8018318142485893,0.17704337761962485,0.016938104266693982,0.004186703865091973,0.940648307516,0.555555555556,0,1.0
67,Soft Grudger,2.48,0.9778573026168642,0.0,1.0,0.8076249630860389,0.17114536208524195,0.011558643091803886,0.009671031736915291,1.0,0,0,0
68,GTFT: 0.33,2.48,0.9880925634688834,0.0,1.0,0.814384611055442,0.17398033815293604,0.007607332108749452,0.00402771868287249,1.0,0.452380952381,1.0,0
69,Cycler CCD,2.47958333333,0.9936708860759493,0.0,1.0,0.815568094182856,0.17835703508573683,0.005426498713354276,0.0006483720180528691,0.947923925668,0.963450292398,1.0,0
