Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
60,Risky QLearner,1.89083333333,0.1834862385321101,25.0,0.1855,0.054622489182250565,0.1288976520763434,0.23417777626487815,0.5823020824765279,0.805555555556,0.9,0.508145363409,0.52380952381
61,$\phi$,1.89083333333,0.17121144389807777,26.0,0.1545,0.04851590497584391,0.12270734930721122,0.24186390818583436,0.5869128375311105,0.924242424242,0.833333333333,0.916666666667,0.375457875458
62,Cautious QLearner,1.89,0.18305766651765756,25.0,0.18525,0.05180690189672002,0.13131929325749192,0.24439221236498274,0.5724815924808053,1.0,0.763888888889,0.524444444444,0.350407848325
63,Joss: 0.9,1.89,0.20681920143562135,23.0,0.153,0.0686672759052897,0.13678653452987968,0.22647457063745716,0.5680716189273733,0.888888888889,0.920454545455,0.519166666667,0.914172335601
64,Cycler CCCDCD,1.88916666667,0.14862138533960995,26.0,0.1475,0.04075759162024303,0.10781135618507766,0.24750288360707848,0.6039281685876009,0.666666666667,1.0,0.379653679654,0.416468253968
65,"Alexei: ('D',)",1.8875,0.20225479143179256,23.5,0.15525,0.06635842940897828,0.1347535705670726,0.22549911339448545,0.5733888866294636,0.861111111111,0.967171717172,0.611111111111,0.899882422105
66,Win-Stay Lose-Shift: C,1.88583333333,0.18286099865047234,24.5,0.15275,0.0581875732955386,0.12374307331032595,0.2340347510456722,0.5840346023484633,0.9,0.971428571429,0.970068027211,0.380208333333
67,"ZD-Extort-2: 0.1111111111111111, 0.5",1.88583333333,0.21289890649408613,22.5,0.15525,0.07137009348453068,0.1411528651429167,0.21963707233814997,0.5678399690344027,0.9,0.816091954023,0.79537037037,0.88656462585
68,Hesitant QLearner,1.885,0.18127090301003346,25.0,0.18275,0.051917913582728216,0.12918292583667496,0.2372239650261481,0.5816751955544486,0.541666666667,0.75641025641,0.542156862745,0.387096774194
69,Appeaser,1.885,0.18053375196232338,24.0,0.153,0.061887284422573546,0.1179757277653791,0.22592054075642348,0.5942164470556239,0.75,0.921296296296,0.925287356322,0.446522556391
70,Predator,1.87583333333,0.23420993481681276,23.0,0.16275,0.07771315993308965,0.15494035966022598,0.21490891792920888,0.5524375624774754,0.955128205128,0.948863636364,0.96373200443,0.915547905909
71,Meta Majority Long Memory: 95 players,1.875,0.21026894865525672,23.0,0.15175,0.07161064011329123,0.1369623943106216,0.2252715459354957,0.5661554196405915,0.8,0.97037037037,0.684523809524,0.891792717087
72,EvolvedLookerUp1_1_1,1.875,0.22122704881325572,22.5,0.152,0.07408300110304442,0.14572230807141667,0.21762244465206,0.5625722461734789,0.875,0.97037037037,0.978472222222,0.861372180451
73,Evolved FSM 16 Noise 05,1.87,0.20681100586377987,23.0,0.15725,0.06473729073103839,0.1411566531355646,0.2213673463813016,0.5727387097520954,0.833333333333,0.931060606061,0.802631578947,0.87256097561
74,Inverse,1.8625,0.21131484794275493,23.0,0.1565,0.07053247053579972,0.13987874990217083,0.22535269578790107,0.5642360837741283,0.9375,0.976851851852,0.565384615385,0.887956810631
75,PSO Gambler Mem1,1.855,0.2149469406186498,23.0,0.16575,0.06890947494351277,0.14518663428212136,0.22062637897580248,0.5652775117985633,0.766666666667,0.845238095238,0.933333333333,0.776845238095
76,NMWE Memory One: 30 players,1.85333333333,0.20974955277280857,23.0,0.154,0.07077636685103408,0.13717707062757892,0.22603556455226523,0.5660109979691218,0.882352941176,0.951219512195,0.563492063492,0.903137254902
77,Stochastic WSLS: 0.05,1.84833333333,0.18342269883824844,24.0,0.158,0.05643501201726307,0.12624251275638554,0.23476174394247476,0.5825607312838766,0.916666666667,0.955882352941,0.927083333333,0.425464576074
78,TF2,1.84541666667,0.22232142857142856,22.0,0.15225,0.0738218342289785,0.14645083330246236,0.20797920811611043,0.5717481243524487,0.892857142857,0.939091915836,0.858531746032,0.885915088927
79,Handshake,1.84166666667,0.2236607142857143,22.0,0.15125,0.07858172573116434,0.14376770289500607,0.21196146067875835,0.5656891106950712,0.975308641975,0.941919191919,0.913211951447,0.87361572536
80,"ZD-Extort-4: 0.23529411764705882, 0.25, 1",1.83166666667,0.21390134529147983,22.0,0.1515,0.0717490891544427,0.14103257332531619,0.21330402933234613,0.5739143081878951,0.935897435897,0.954365079365,0.817567567568,0.892635658915
81,Hopeless,1.55333333333,0.47417840375586856,17.0,0.502,0.12430182721873378,0.3507443297427652,0.16682179249086337,0.3581320505476376,0.926126126126,0.371929824561,0.7,0.492948717949
82,ALLCorALLD,1.51416666667,0.4395678595543552,15.0,0.42725,0.13257682538795285,0.30708532476899353,0.14760726552845174,0.4127305843146019,0.928571428571,0.598370927318,0.94362745098,0.908024691358
83,Desperate,1.47333333333,0.5070643642072213,14.0,0.49725,0.15150860897222165,0.3551360015594029,0.13519089974885234,0.358164489719523,0.918699186992,0.910256410256,0.955882352941,0.474285714286
84,Random: 0.5,1.45,0.4864804469273743,14.5,0.4875,0.13021182681632876,0.35592083796773066,0.1463356066731203,0.3675317285428202,0.858974358974,0.719393939394,0.760666666667,0.658333333333
85,SelfSteem,1.4375,0.5290710625974605,14.0,0.5105,0.1523303886856867,0.37584560630765806,0.13500168319811887,0.3368223218085365,0.807971014493,0.926984126984,0.722222222222,0.868939393939
86,Ripoff,1.0875,0.7801513128615932,6.0,0.8535,0.21524918763131867,0.5664734178893784,0.06937870337904672,0.14889869110025616,0.56,0.390625,0.888888888889,0.763157894737
87,Opposite Grudger,1.06583333333,0.8259897114739432,6.0,0.84825,0.22746992488316345,0.5987441793099828,0.05741199263946289,0.11637390316739091,0.694871794872,0.858480989295,0.625,0.95
88,Prober 2,1.05666666667,0.77737881508079,5.0,0.8485,0.2139664403998261,0.5648544562095243,0.06579642970459633,0.1553826736860532,0.595555555556,0.425912698413,1.0,0.652777777778
89,Fortress3,1.05583333333,0.8439526045159848,5.0,0.8475,0.24128312345175723,0.6027484954428945,0.04766189814982358,0.10830648295552471,0.922598162072,0.853202947846,0.954545454545,0.953703703704
90,Tester,1.0525,0.7847644805048456,6.0,0.849,0.2074498132987805,0.5785537774425061,0.06945155462193568,0.1445448546367776,0.604166666667,0.391935483871,0.875,0.833333333333
91,Hard Go By Majority: 40,1.04666666667,0.8325942350332595,5.0,0.848,0.2345095211570496,0.5978257984401192,0.05059828095876329,0.11706639944406794,0.622222222222,0.903277153558,0.75,1.0
92,Hard Go By Majority: 5,1.045,0.8283997329178723,5.0,0.84975,0.23129139940803933,0.5977802571110888,0.050710150582068673,0.1202181928988032,0.641060985798,0.885046457607,0.857142857143,0.977777777778
93,Fortress4,1.0425,0.8424365025848505,4.5,0.84625,0.23948676314962034,0.6029988305355123,0.045016627552348094,0.11249777876251932,0.869505494505,0.855727672595,0.953703703704,0.9375
94,SolutionB5,1.04083333333,0.8351623740201568,4.5,0.856,0.23200004494401225,0.6035751207373771,0.04706396468845506,0.11736086963015561,0.71,0.869322344322,0.928571428571,1.0
95,Bully,1.0375,0.8021510194936141,5.0,0.85275,0.21623632442480917,0.587224153998045,0.05912779913536068,0.13741172244178507,0.945512820513,0.425900900901,0.977272727273,0.766666666667
96,Defector,1.03541666667,0.8429144385026738,4.0,0.84375,0.24549534051968028,0.5973742917210885,0.039443844282648334,0.11768652347658284,0.917628205128,0.861232492997,0.96875,0.951219512195
97,Hard Go By Majority,1.02333333333,0.8252059674905367,5.0,0.845,0.2307518772058061,0.59497617552724,0.04893365074004159,0.12533829652691242,0.721626984127,0.870347564313,0.9,0.914285714286
98,Meta Minority: 173 players,1.02166666667,0.8112014453477868,4.0,0.86,0.21877204371398895,0.5937216973686845,0.059091446191156576,0.12841481272616984,0.98954248366,0.402269027269,0.934782608696,0.75
99,Hard Go By Majority: 10,0.9775,0.8309449171518137,5.0,0.84525,0.21676942317069778,0.6138266284907321,0.04707246840855422,0.1223314799300159,0.683333333333,0.884988385598,0.9,0.951219512195
100,Hard Go By Majority: 20,0.965833333333,0.8397493285586393,4.0,0.8605,0.22714544433766412,0.6129408955559212,0.04425913924004311,0.11565452086637164,0.718599033816,0.869410569106,1.0,0.945833333333
